Countries,Total Cases,Total Deaths,Total Recovered,Serious,Tot Death/1M pop,Tot Tests,Tot Tests/1M pop,Population
USA,"11,18,20,082","12,19,487","10,98,14,428","7,86,167","3,33,985","3,642","1,18,68,51,502","35,44,901"
India,"4,50,35,393","5,33,570",0,0,"32,016",379,"93,58,79,495","6,65,334"
France,"4,01,38,560","1,67,642","3,99,70,918",0,"6,12,013","2,556","27,14,90,188","41,39,547"
Germany,"3,88,28,995","1,83,027","3,82,40,600","4,05,368","4,62,891","2,182","12,23,32,384","14,58,359"
Brazil,"3,87,43,918","7,11,380","3,62,49,161","17,83,377","1,79,908","3,303","6,37,76,166","2,96,146"
S. Korea,"3,45,71,873","35,934","3,45,35,939",0,"6,73,523",700,"1,58,04,065","3,07,892"
Japan,"3,38,03,572","74,694",0,0,"2,69,169",595,"10,04,14,883","7,99,578"
Italy,"2,67,23,249","1,96,487","2,63,61,218","1,65,544","4,43,445","3,261","28,11,26,449","46,65,010"
UK,"2,49,10,387","2,32,112","2,46,78,275",0,"3,63,666","3,389","52,25,26,476","76,28,357"
Russia,"2,41,24,215","4,02,756","2,35,45,818","1,75,641","1,65,454","2,762","27,34,00,000","18,75,095"
Turkey,"1,72,32,066","1,02,174",0,0,"2,01,399","1,194","16,27,43,369","19,02,052"
Spain,"1,39,14,811","1,21,760","1,37,62,417","30,634","2,97,840","2,606","47,10,36,328","1,00,82,298"
Australia,"1,18,53,144","24,414","1,18,20,014","8,716","4,54,687",937,"8,19,16,639","31,42,326"
Vietnam,"1,16,25,195","43,206","1,06,40,971","9,41,018","1,17,481",437,"8,58,26,548","8,67,342"
Taiwan,"1,02,41,523","19,005","1,02,22,518",0,"4,28,720",796,"3,07,42,304","12,86,903"
Argentina,"1,01,28,845","1,30,841","99,97,258",746,"2,20,143","2,844","3,57,16,069","7,76,264"
Netherlands,"86,35,786","22,992","86,12,599",195,"5,01,747","1,336","2,59,84,435","15,09,718"
Mexico,"77,02,809","3,34,958","68,99,865","4,67,986","58,549","2,546","2,00,13,810","1,52,124"
Iran,"76,27,186","1,46,811",179,180,"88,665","1,707","5,73,20,267","6,66,338"
Indonesia,"68,29,221","1,62,063","66,47,104","20,054","24,466",581,"11,41,58,919","4,08,975"
Poland,"66,61,991","1,20,598",189,178,"1,76,524","3,196","3,93,23,709","10,41,970"
Colombia,"64,00,173","1,43,200","62,12,152","44,821","1,24,244","2,780","3,69,51,507","7,17,327"
Greece,"61,01,379","37,869",907,679,"5,91,412","3,671","10,22,28,365","99,09,078"
Austria,"60,81,287","22,542","60,54,934","3,811","6,70,727","2,486","21,12,73,524","2,33,02,116"
Portugal,"56,43,062","28,126","56,14,809",127,"5,56,484","2,774","4,61,39,518","45,49,993"
Ukraine,"55,57,995","1,12,418","54,45,577",0,"1,28,681","2,603","3,26,03,805","7,54,855"
Chile,"53,84,853","64,497","52,52,450","67,906","2,79,730","3,350","5,03,82,097","26,17,225"
Malaysia,"52,78,406","37,348","52,33,268","7,790","1,59,079","1,126","6,85,80,916","20,66,869"
Canada,"49,46,090","59,034","48,81,312","5,744","1,28,843","1,538","6,65,72,774","17,34,189"
Belgium,"48,61,695","34,376","48,26,798",521,"4,16,659","2,946","3,74,54,182","32,09,915"
Israel,"48,41,772","12,707","47,98,473","30,592","5,19,169","1,363","4,13,73,364","44,36,346"
DPRK,"47,72,813",74,"47,72,739",0,"1,83,636",3,,
Thailand,"47,70,149","34,586","46,92,636","42,927","68,069",494,"1,72,73,454","2,46,488"
Czechia,"47,59,041","43,517","47,15,206",318,"4,43,246","4,053","5,78,34,241","53,86,552"
Peru,"45,72,667","2,22,161","43,50,506",0,"1,35,751","6,595","3,90,10,194","11,58,115"
Switzerland,"44,53,053","14,452","44,38,309",292,"5,07,549","1,647","2,38,33,472","27,16,487"
Philippines,"41,40,383","66,864","40,67,381","6,138","36,800",594,"3,61,02,746","3,20,888"
South Africa,"40,76,463","1,02,595","39,12,506","61,362","67,095","1,689","2,67,95,090","4,41,027"
Romania,"35,29,735","68,929","34,60,149",657,"1,85,470","3,622","2,87,58,667","15,11,122"
Denmark,"31,83,756","8,814","31,74,942",0,"5,45,636","1,511","12,93,33,107","2,21,65,247"
Singapore,"30,06,155","2,024","30,04,131",0,"5,05,785",341,"2,47,56,666","41,65,302"
Hong Kong,"29,37,609","14,924","29,16,005","6,680","3,86,309","1,963","7,61,27,725","1,00,11,143"
Sweden,"27,54,129","27,407","27,26,492",230,"2,69,511","2,682","1,95,00,873","19,08,301"
New Zealand,"26,21,111","5,697","26,13,791","1,623","5,35,117","1,163","77,68,604","15,86,011"
Serbia,"26,15,054","18,057","25,96,608",389,"3,02,213","2,087","1,34,63,733","15,55,958"
Iraq,"24,65,545","25,375","24,39,497",673,"58,474",602,"1,95,44,451","4,63,523"
Hungary,"22,30,232","49,048","21,52,155","29,029","2,32,164","5,106","1,13,94,556","11,86,160"
Bangladesh,"20,49,377","29,493",0,0,"12,207",176,"1,52,54,399","90,862"
Slovakia,"18,77,605","21,224","18,56,381",0,"3,43,872","3,887","74,48,789","13,64,199"
Georgia,"18,61,665","17,132",0,0,"4,69,082","4,317","1,69,20,079","42,63,340"
Jordan,"17,46,997","14,122","17,31,007","1,868","1,69,597","1,371","1,72,01,885","16,69,945"
Ireland,"17,34,582","9,491","17,24,921",170,"3,45,521","1,891","1,30,83,449","26,06,161"
Pakistan,"15,81,936","30,664","15,38,689","12,583","6,893",134,"3,05,89,153","1,33,292"
Finland,"15,16,117","11,958","15,03,989",170,"2,72,930","2,153","1,21,08,977","21,79,850"
Norway,"15,09,732","6,638","15,03,094",0,"2,73,930","1,204","1,10,02,430","19,96,315"
Kazakhstan,"14,11,831","13,848","13,83,020","14,963","73,514",721,"1,15,75,012","6,02,707"
Lithuania,"13,97,806","9,897","13,87,478",431,"5,25,154","3,718","1,05,40,357","39,59,997"
Slovenia,"13,56,546","7,100","13,49,424",22,"6,52,803","3,417","28,47,701","13,70,382"
Bulgaria,"13,39,851","38,748","12,92,944","8,159","1,95,753","5,661","1,16,71,043","17,05,147"
Croatia,"13,09,728","18,687","12,58,432","32,609","3,22,650","4,604","56,60,084","13,94,355"
Guatemala,"12,91,293","20,289","12,69,891","1,113","69,484","1,092","75,93,848","4,08,622"
Morocco,"12,78,992","16,303",789,809,"33,860",432,"1,30,01,033","3,44,191"
Lebanon,"12,43,838","10,952","10,87,587","1,45,299","1,86,068","1,638","47,95,578","7,17,380"
Costa Rica,"12,38,883","9,428",568,90,"2,39,058","1,819","46,59,757","8,99,158"
Bolivia,"12,12,131","22,407","11,77,145","12,579","1,01,073","1,868","27,10,261","2,25,993"
Tunisia,"11,53,361","29,423",906,89,"95,741","2,442","50,13,383","4,16,164"
Cuba,"11,15,251","8,530","11,06,660",61,"98,645",754,"1,44,02,674","12,73,936"
Ecuador,"10,70,188","36,043","10,34,145",0,"59,083","1,990","30,82,403","1,70,173"
UAE,"10,67,030","2,349",78,89,"1,05,837",233,"20,07,32,262","1,99,10,389"
Panama,"10,59,893","8,727","10,51,102",64,"2,38,341","1,962","78,82,622","17,72,585"
Uruguay,"10,41,111","7,664","10,30,944","2,503","2,97,799","2,192","61,14,822","17,49,083"
